disease,model,rows,original_features,pca_components,accuracy,precision,recall,f1,seconds
heart,Random Forest,1271,13,11,1.0,1.0,1.0,1.0,1.1331757999996626
kidney,Random Forest,400,208,35,1.0,1.0,1.0,1.0,0.5606076000003668
liver,Random Forest,633,97,4,0.7874015748031497,0.8651685393258427,0.8369565217391305,0.850828729281768,0.8318717000001925
thyroid,Logistic Regression,3771,25,2,0.9695364238410596,0.7272727272727273,0.9655172413793104,0.8296296296296296,0.10543580000012298
diabetes,Random Forest,1271,8,7,0.9019607843137255,0.8522727272727273,0.8620689655172413,0.8571428571428571,0.49313529999926686
